Column,Set,Benchmark,Result
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-towers,3908
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-bigfib,5109
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-container,28134
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-dry,6196
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-float-mm,9844
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-gcc-loops,46800
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-n-body,12905
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-quicksort,2495
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-towers,3888
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-bigfib,4661
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-container,28300
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-dry,6022
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-float-mm,9846
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-gcc-loops,47112
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-n-body,12730
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-quicksort,2495
Cortex-A53,"Baseline (r31252)",jetstream-asmjs-towers,3740
Cortex-A57,"Baseline (r31252)",asmjs-apps-box2d-loadtime,2789
Cortex-A57,"Baseline (r31252)",asmjs-apps-box2d-throughput,10506
Cortex-A57,"Baseline (r31252)",asmjs-apps-bullet-loadtime,7166
Cortex-A57,"Baseline (r31252)",asmjs-apps-bullet-throughput,16077
Cortex-A57,"Baseline (r31252)",asmjs-apps-lua_binarytrees-loadtime,1883
Cortex-A57,"Baseline (r31252)",asmjs-apps-lua_binarytrees-throughput,9454
Cortex-A57,"Baseline (r31252)",asmjs-apps-zlib-loadtime,2023
Cortex-A57,"Baseline (r31252)",asmjs-apps-zlib-throughput,7953
Cortex-A57,"Baseline (r31252)",asmjs-apps-box2d-loadtime,2773
Cortex-A57,"Baseline (r31252)",asmjs-apps-box2d-throughput,10503
Cortex-A57,"Baseline (r31252)",asmjs-apps-bullet-loadtime,7179
Cortex-A57,"Baseline (r31252)",asmjs-apps-bullet-throughput,16125
Cortex-A57,"Baseline (r31252)",asmjs-apps-lua_binarytrees-loadtime,1883
Cortex-A57,"Baseline (r31252)",asmjs-apps-lua_binarytrees-throughput,9850
Cortex-A57,"Baseline (r31252)",asmjs-apps-zlib-loadtime,1775
Cortex-A57,"Baseline (r31252)",asmjs-apps-zlib-throughput,7942
Cortex-A57,"Baseline (r31252)",asmjs-apps-box2d-loadtime,2770
Cortex-A57,"Baseline (r31252)",asmjs-apps-box2d-throughput,10463
Cortex-A57,"Baseline (r31252)",asmjs-apps-bullet-loadtime,7154
Cortex-A57,"Baseline (r31252)",asmjs-apps-bullet-throughput,16138
Cortex-A57,"Baseline (r31252)",asmjs-apps-lua_binarytrees-loadtime,1881
Cortex-A57,"Baseline (r31252)",asmjs-apps-lua_binarytrees-throughput,9746
Cortex-A57,"Baseline (r31252)",asmjs-apps-zlib-loadtime,1773
Cortex-A57,"Baseline (r31252)",asmjs-apps-zlib-throughput,7940
Cortex-A57,"Baseline (r31252)",asmjs-apps-box2d-loadtime,3049
Cortex-A57,"Baseline (r31252)",asmjs-apps-box2d-throughput,10487
Cortex-A57,"Baseline (r31252)",asmjs-apps-bullet-loadtime,7395
Cortex-A57,"Baseline (r31252)",asmjs-apps-bullet-throughput,15907
Cortex-A57,"Baseline (r31252)",asmjs-apps-lua_binarytrees-loadtime,2138
Cortex-A57,"Baseline (r31252)",asmjs-apps-lua_binarytrees-throughput,9604
Cortex-A57,"Baseline (r31252)",asmjs-apps-zlib-loadtime,2027
Cortex-A57,"Baseline (r31252)",asmjs-apps-zlib-throughput,7944
Cortex-A57,"Baseline (r31252)",asmjs-apps-box2d-loadtime,2753
Cortex-A57,"Baseline (r31252)",asmjs-apps-box2d-throughput,10512
Cortex-A57,"Baseline (r31252)",asmjs-apps-bullet-loadtime,7160
Cortex-A57,"Baseline (r31252)",asmjs-apps-bullet-throughput,16108
Cortex-A57,"Baseline (r31252)",asmjs-apps-lua_binarytrees-loadtime,1890
Cortex-A57,"Baseline (r31252)",asmjs-apps-lua_binarytrees-throughput,9454
Cortex-A57,"Baseline (r31252)",asmjs-apps-zlib-loadtime,2020
Cortex-A57,"Baseline (r31252)",asmjs-apps-zlib-throughput,7939
Cortex-A57,"Baseline (r31252)",asmjs-ubench-copy,12592
Cortex-A57,"Baseline (r31252)",asmjs-ubench-corrections,16487
Cortex-A57,"Baseline (r31252)",asmjs-ubench-fannkuch,17378
Cortex-A57,"Baseline (r31252)",asmjs-ubench-fasta,39555
Cortex-A57,"Baseline (r31252)",asmjs-ubench-life,17787
Cortex-A57,"Baseline (r31252)",asmjs-ubench-memops,31040
Cortex-A57,"Baseline (r31252)",asmjs-ubench-primes,17607
Cortex-A57,"Baseline (r31252)",asmjs-ubench-skinning,52213
Cortex-A57,"Baseline (r31252)",asmjs-ubench-copy,12592
Cortex-A57,"Baseline (r31252)",asmjs-ubench-corrections,16402
Cortex-A57,"Baseline (r31252)",asmjs-ubench-fannkuch,17382
Cortex-A57,"Baseline (r31252)",asmjs-ubench-fasta,39288
Cortex-A57,"Baseline (r31252)",asmjs-ubench-life,17525
Cortex-A57,"Baseline (r31252)",asmjs-ubench-memops,31309
Cortex-A57,"Baseline (r31252)",asmjs-ubench-primes,17607
Cortex-A57,"Baseline (r31252)",asmjs-ubench-skinning,51423
Cortex-A57,"Baseline (r31252)",asmjs-ubench-copy,12869
Cortex-A57,"Baseline (r31252)",asmjs-ubench-corrections,16403
Cortex-A57,"Baseline (r31252)",asmjs-ubench-fannkuch,17400
Cortex-A57,"Baseline (r31252)",asmjs-ubench-fasta,39283
Cortex-A57,"Baseline (r31252)",asmjs-ubench-life,17594
Cortex-A57,"Baseline (r31252)",asmjs-ubench-memops,31311
Cortex-A57,"Baseline (r31252)",asmjs-ubench-primes,17602
Cortex-A57,"Baseline (r31252)",asmjs-ubench-skinning,54080
Cortex-A57,"Baseline (r31252)",asmjs-ubench-copy,12594
Cortex-A57,"Baseline (r31252)",asmjs-ubench-corrections,16488
Cortex-A57,"Baseline (r31252)",asmjs-ubench-fannkuch,17411
Cortex-A57,"Baseline (r31252)",asmjs-ubench-fasta,39556
Cortex-A57,"Baseline (r31252)",asmjs-ubench-life,17531
Cortex-A57,"Baseline (r31252)",asmjs-ubench-memops,31035
Cortex-A57,"Baseline (r31252)",asmjs-ubench-primes,17608
Cortex-A57,"Baseline (r31252)",asmjs-ubench-skinning,53309
Cortex-A57,"Baseline (r31252)",asmjs-ubench-copy,12595
Cortex-A57,"Baseline (r31252)",asmjs-ubench-corrections,16488
Cortex-A57,"Baseline (r31252)",asmjs-ubench-fannkuch,17532
Cortex-A57,"Baseline (r31252)",asmjs-ubench-fasta,39283
Cortex-A57,"Baseline (r31252)",asmjs-ubench-life,17587
Cortex-A57,"Baseline (r31252)",asmjs-ubench-memops,31311
Cortex-A57,"Baseline (r31252)",asmjs-ubench-primes,17607
Cortex-A57,"Baseline (r31252)",asmjs-ubench-skinning,53307
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-bigfib,2448
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-container,15542
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-dry,4127
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-float-mm,2584
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-gcc-loops,16904
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-n-body,5547
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-quicksort,1725
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-towers,1501
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-bigfib,2437
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-container,15500
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-dry,4057
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-float-mm,2626
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-gcc-loops,17761
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-n-body,5547
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-quicksort,1829
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-towers,1503
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-bigfib,2128
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-container,15553
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-dry,4238
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-float-mm,2585
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-gcc-loops,16997
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-n-body,5823
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-quicksort,1726
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-towers,1502
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-bigfib,2188
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-container,15850
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-dry,4332
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-float-mm,2584
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-gcc-loops,16976
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-n-body,5547
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-quicksort,1725
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-towers,1503
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-bigfib,2187
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-container,15558
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-dry,4057
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-float-mm,2602
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-gcc-loops,17164
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-n-body,5547
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-quicksort,1724
Cortex-A57,"Baseline (r31252)",jetstream-asmjs-towers,1502
Cortex-A53,Patch,asmjs-apps-box2d-loadtime,5671
Cortex-A53,Patch,asmjs-apps-box2d-throughput,23958
Cortex-A53,Patch,asmjs-apps-bullet-loadtime,17145
Cortex-A53,Patch,asmjs-apps-bullet-throughput,37212
Cortex-A53,Patch,asmjs-apps-lua_binarytrees-loadtime,4073
Cortex-A53,Patch,asmjs-apps-lua_binarytrees-throughput,27357
Cortex-A53,Patch,asmjs-apps-zlib-loadtime,3593
Cortex-A53,Patch,asmjs-apps-zlib-throughput,17453
Cortex-A53,Patch,asmjs-apps-box2d-loadtime,5666
Cortex-A53,Patch,asmjs-apps-box2d-throughput,23774
Cortex-A53,Patch,asmjs-apps-bullet-loadtime,17141
Cortex-A53,Patch,asmjs-apps-bullet-throughput,37275
Cortex-A53,Patch,asmjs-apps-lua_binarytrees-loadtime,4050
Cortex-A53,Patch,asmjs-apps-lua_binarytrees-throughput,27545
Cortex-A53,Patch,asmjs-apps-zlib-loadtime,3587
Cortex-A53,Patch,asmjs-apps-zlib-throughput,17434
Cortex-A53,Patch,asmjs-apps-box2d-loadtime,5819
Cortex-A53,Patch,asmjs-apps-box2d-throughput,23769
Cortex-A53,Patch,asmjs-apps-bullet-loadtime,17304
Cortex-A53,Patch,asmjs-apps-bullet-throughput,37310
Cortex-A53,Patch,asmjs-apps-lua_binarytrees-loadtime,4067
